Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A2721,Data Analytics Course,107,4523,227.88,23,8,7.48,1844.0,11-Aug-24,Hyderabad,Desktop,Online Data Analytics
A1210,Data Analytics Course,199,4523,199.98,15,8,4.02,1467.0,11-Aug-24,Hyderabad,Tablet,Data Anaytics Training
A3096,Data Analytics Course,98,3967,214.51,12,5,5.1,1180.0,11-Aug-24,Hyderabad,Desktop,Analyticss For Data
A1982,Data Analytics Course,135,4430,196.18,12,9,6.67,1374.0,11-Aug-24,Hyderabad,Mobile,Analyticss For Data
A2242,Data Analytics Course,177,4523,240.09,26,10,5.65,1498.65,11-Aug-24,Hyderabad,Mobile,Data Anaytics Training
A1030,Data Analytics Course,188,4834,213.58,15,4,2.13,1590.0,11-Aug-24,Hyderabad,Tablet,Online Data Analytics
A2320,Data Analytics Course,93,3160,220.75,30,8,8.6,1472.0,11-Aug-24,Hyderabad,Desktop,Data Analyticss Online
A2715,Data Analytics Course,121,5205,181.81,24,5,4.13,1555.0,11-Aug-24,Hyderabad,Tablet,Data Analyticss Online
A2562,Data Analytics Course,135,3198,227.48,20,6,4.44,1882.0,11-Sep-24,Hyderabad,Desktop,Online Data Analytics
A2076,Data Analytics Course,157,5201,228.72,14,8,5.1,1458.0,11-Sep-24,Hyderabad,Mobile,Data Analyticss Online
A2064,Data Analytics Course,198,3575,224.07,13,3,1.52,1070.0,11-Sep-24,Hyderabad,Desktop,Data Analyticss Online
A3046,Data Analytics Course,132,4438,232.68,24,7,5.3,1959.0,11-Sep-24,Hyderabad,Desktop,Analyticss For Data
A3515,Data Analytics Course,199,4400,228.05,26,8,4.02,1025.0,11-Sep-24,Hyderabad,Tablet,Learn Data Analyticss
A2138,Data Analytics Course,166,5381,246.52,21,7,4.22,1579.0,11-Sep-24,Hyderabad,Desktop,Data Anaytics Training
A1586,Data Analytics Course,105,3274,187.89,24,4,3.81,1360.0,11-Sep-24,Hyderabad,Desktop,Learn Data Analyticss
A3483,Data Analytics Course,191,5361,220.04,17,10,5.24,1034.0,11-Sep-24,Hyderabad,Mobile,Analyticss For Data
A1641,Data Analytics Course,82,3454,228.02,30,7,8.54,1463.0,11-Sep-24,Hyderabad,Desktop,Learn Data Analyticss
A3095,Data Analytics Course,98,5898,186.46,20,6,6.12,1498.65,11-Sep-24,Hyderabad,Mobile,Data Analyticss Online
A1131,Data Analytics Course,117,3809,225.14,12,5,4.27,1495.0,11-Sep-24,Hyderabad,Desktop,Data Anaytics Training
A2810,Data Analytics Course,87,5221,217.08,13,9,10.34,1723.0,11-Sep-24,Hyderabad,Desktop,Data Analyticss Online
A1170,Data Analytics Course,146,4330,191.9,20,3,2.05,1748.0,11-Sep-24,Hyderabad,Mobile,Online Data Analytics
A1911,Data Analytics Course,183,4197,243.19,29,8,4.37,1593.0,11-Sep-24,Hyderabad,Mobile,Data Anaytics Training
A3364,Data Analytics Course,159,5584,249.46,18,8,5.03,1176.0,11-Sep-24,Hyderabad,Desktop,Analyticss For Data
A1631,Data Analytics Course,193,4287,204.62,15,3,1.55,1800.0,11-Sep-24,Hyderabad,Tablet,Data Anaytics Training
A2557,Data Analytics Course,159,5078,182.57,30,8,5.03,1541.0,11-Sep-24,Hyderabad,Mobile,Data Analyticss Course
A2804,Data Analytics Course,110,3371,211.89,12,6,5.45,1743.0,11-Sep-24,Hyderabad,Tablet,Data Analyticss Course
A2694,Data Analytics Course,146,4624,212.67,19,9,6.16,1513.0,11-Sep-24,Hyderabad,Mobile,Data Analyticss Course
A2912,Data Analytics Course,84,3859,182.85,17,8,9.52,1145.0,11-Sep-24,Hyderabad,Mobile,Data Anaytics Training
A2289,Data Analytics Course,170,5286,190.65,22,7,4.12,1110.0,11-Sep-24,Hyderabad,Desktop,Data Analyticss Online
A1316,Data Analytics Course,146,3757,192.59,25,9,6.16,1169.0,11-Sep-24,Hyderabad,Desktop,Online Data Analytics
A3051,Data Analytics Course,187,4876,192.2,16,5,2.67,1396.0,11-Sep-24,Hyderabad,Tablet,Analyticss For Data
A1861,Data Analytics Course,130,5787,218.79,13,10,7.69,1679.0,11-Sep-24,Hyderabad,Mobile,Online Data Analytics
A2935,Data Analytics Course,89,5422,199.91,12,6,6.74,1903.0,11-Sep-24,Hyderabad,Desktop,Data Anaytics Training
A2594,Data Analytics Course,192,4920,192.15,18,10,5.21,1665.0,11-Sep-24,Hyderabad,Mobile,Data Analyticss Online
A2239,Data Analytics Course,140,4404,186.01,23,6,4.29,1625.0,11-Sep-24,Hyderabad,Tablet,Analyticss For Data
A1405,Data Analytics Course,144,5381,199.43,10,10,6.94,1085.0,11-Sep-24,Hyderabad,Desktop,Data Anaytics Training
A3489,Data Analytics Course,157,4026,192.69,19,3,1.91,1028.0,11-Sep-24,Hyderabad,Tablet,Analyticss For Data
A1429,Data Analytics Course,88,3804,249.2,10,8,9.09,1044.0,11-Sep-24,Hyderabad,Tablet,Data Anaytics Training
A3244,Data Analytics Course,150,4001,219.1,25,6,4.0,1365.0,11-Sep-24,Hyderabad,Tablet,Online Data Analytics
A2877,Data Analytics Course,184,4238,228.49,26,10,5.43,1003.0,11-Sep-24,Hyderabad,Tablet,Learn Data Analyticss
A3001,Data Analytics Course,137,5057,194.11,11,6,4.38,1206.0,11-Sep-24,Hyderabad,Desktop,Data Analyticss Course
A1253,Data Analytics Course,187,3800,241.0,16,8,4.28,1842.0,11-Sep-24,Hyderabad,Mobile,Analyticss For Data
A2776,Data Analytics Course,195,4128,246.55,25,5,2.56,1105.0,11-Sep-24,Hyderabad,Mobile,Data Anaytics Training
A1437,Data Analytics Course,103,4693,218.67,14,10,9.71,1390.0,11-Sep-24,Hyderabad,Mobile,Learn Data Analyticss
A3425,Data Analytics Course,128,3153,236.34,16,6,4.69,1050.0,11-Sep-24,Hyderabad,Desktop,Online Data Analytics
A1112,Data Analytics Course,168,3349,235.6,23,9,5.36,1894.0,11-Sep-24,Hyderabad,Mobile,Online Data Analytics
A1042,Data Analytics Course,113,4418,191.55,27,10,8.85,1634.0,11-Sep-24,Hyderabad,Mobile,Data Analyticss Course
A2762,Data Analytics Course,82,3261,245.34,30,8,9.76,1922.0,11-Sep-24,Hyderabad,Desktop,Data Analyticss Course
A3432,Data Analytics Course,105,3149,233.19,13,10,9.52,1135.0,11-Sep-24,Hyderabad,Tablet,Learn Data Analyticss
A3036,Data Analytics Course,137,4189,208.84,17,7,5.11,1211.0,11-Sep-24,Hyderabad,Mobile,Online Data Analytics
A2248,Data Analytics Course,81,5843,209.54,10,9,11.11,1979.0,11-Sep-24,Hyderabad,Tablet,Data Anaytics Training
A2425,Data Analytics Course,125,3458,180.49,19,3,2.4,1754.0,11-Sep-24,Hyderabad,Tablet,Data Analyticss Online
A2458,Data Analytics Course,181,3738,206.61,16,9,4.97,1868.0,11-Sep-24,Hyderabad,Mobile,Online Data Analytics
A1897,Data Analytics Course,164,3851,219.15,22,6,3.66,1487.0,11-Sep-24,Hyderabad,Mobile,Learn Data Analyticss
A2962,Data Analytics Course,151,4966,223.67,15,3,1.99,1411.0,11-Sep-24,Hyderabad,Tablet,Analyticss For Data
A1467,Data Analytics Course,143,4492,188.98,13,3,2.1,1498.65,11-Sep-24,Hyderabad,Mobile,Online Data Analytics
A2991,Data Analytics Course,89,3363,220.07,26,7,7.87,1939.0,11-Sep-24,Hyderabad,Desktop,Data Analyticss Course
A1682,Data Analytics Course,193,4706,213.41,24,8,4.15,1058.0,11-Sep-24,Hyderabad,Desktop,Data Analyticss Course
A1078,Data Analytics Course,86,5352,234.05,11,5,5.81,1364.0,11-Sep-24,Hyderabad,Tablet,Online Data Analytics
A1956,Data Analytics Course,185,3719,245.91,17,9,4.86,1218.0,11-Sep-24,Hyderabad,Mobile,Online Data Analytics
A2643,Data Analytics Course,139,4314,194.56,21,9,6.47,1211.0,11-Sep-24,Hyderabad,Tablet,Data Anaytics Training
A1074,Data Analytics Course,150,4621,246.3,15,6,4.0,1554.0,11-Sep-24,Hyderabad,Desktop,Data Analyticss Online
A1072,Data Analytics Course,133,3728,199.13,11,10,7.52,1498.65,11-Sep-24,Hyderabad,Desktop,Data Analyticss Online
A3215,Data Analytics Course,143,3600,238.14,26,7,4.9,1891.0,11-Sep-24,Hyderabad,Tablet,Analyticss For Data
A3267,Data Analytics Course,167,5824,204.18,20,7,4.19,1452.0,11-Sep-24,Hyderabad,Mobile,Data Analyticss Course
A1762,Data Analytics Course,103,5628,195.6,24,8,7.77,1065.0,11-Sep-24,Hyderabad,Mobile,Analyticss For Data
A2121,Data Analytics Course,112,5288,246.27,26,10,8.93,1498.65,11-Oct-24,Hyderabad,Mobile,Data Anaytics Training
A2548,Data Analytics Course,151,4675,183.02,14,7,4.64,1000.0,11-Oct-24,Hyderabad,Mobile,Analyticss For Data
A1224,Data Analytics Course,132,4490,202.45,10,7,5.3,1441.0,11-Oct-24,Hyderabad,Mobile,Data Analyticss Online
A2680,Data Analytics Course,183,5659,191.88,12,7,3.83,1830.0,11-Oct-24,Hyderabad,Mobile,Analyticss For Data
A1560,Data Analytics Course,117,4223,215.09062325209752,28,6,5.13,1489.0,11-Oct-24,Hyderabad,Mobile,Data Anaytics Training
A2739,Data Analytics Course,156,3361,183.12,29,9,5.77,1241.0,11-Oct-24,Hyderabad,Desktop,Data Analyticss Online
A2540,Data Analytics Course,110,5509,245.38,13,8,7.27,1539.0,11-Oct-24,Hyderabad,Mobile,Learn Data Analyticss
A2265,Data Analytics Course,153,3354,243.13,24,6,3.92,1536.0,11-Oct-24,Hyderabad,Mobile,Data Analyticss Course
A2454,Data Analytics Course,189,5060,236.54,26,7,3.7,1877.0,11-Oct-24,Hyderabad,Mobile,Data Anaytics Training
A1739,Data Analytics Course,175,3818,190.89,30,10,5.71,1088.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Online
A1016,Data Analytics Course,193,5159,215.09062325209752,15,9,4.66,1614.0,11-Oct-24,Hyderabad,Mobile,Learn Data Analyticss
A3583,Data Analytics Course,124,3383,224.63,21,7,5.65,1263.0,11-Oct-24,Hyderabad,Desktop,Data Analyticss Online
A1067,Data Analytics Course,138,5751,199.11,26,9,6.52,1337.0,11-Oct-24,Hyderabad,Desktop,Data Analyticss Online
A2750,Data Analytics Course,83,5973,224.06,25,9,10.84,1197.0,11-Oct-24,Hyderabad,Mobile,Analyticss For Data
A3270,Data Analytics Course,139,4379,238.75,24,8,5.76,1498.65,11-Oct-24,Hyderabad,Mobile,Data Anaytics Training
A1676,Data Analytics Course,144,5026,231.82,14,4,2.78,1645.0,11-Oct-24,Hyderabad,Desktop,Data Analyticss Course
A1817,Data Analytics Course,162,3906,237.24,13,5,3.09,1062.0,11-Oct-24,Hyderabad,Desktop,Data Anaytics Training
A1665,Data Analytics Course,181,4150,236.69,15,5,2.76,1251.0,11-Oct-24,Hyderabad,Mobile,Data Analyticss Online
A1578,Data Analytics Course,85,5341,249.64,21,6,7.06,1388.0,11-Oct-24,Hyderabad,Mobile,Online Data Analytics
A1656,Data Analytics Course,155,5977,187.28,16,7,4.52,1607.0,11-Oct-24,Hyderabad,Desktop,Online Data Analytics
A1643,Data Analytics Course,199,4287,235.58,12,10,5.03,1276.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Course
A1124,Data Analytics Course,96,4673,192.88,24,5,5.21,1962.0,11-Oct-24,Hyderabad,Mobile,Learn Data Analyticss
A3294,Data Analytics Course,189,5624,248.03,23,7,3.7,1498.65,11-Oct-24,Hyderabad,Tablet,Analyticss For Data
A2954,Data Analytics Course,156,3533,211.7,22,9,5.77,1399.0,11-Oct-24,Hyderabad,Mobile,Data Analyticss Course
A2170,Data Analytics Course,167,4523,244.62,11,9,5.39,1465.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Online
A3308,Data Analytics Course,119,3602,191.83,26,3,2.52,1052.0,11-Oct-24,Hyderabad,Tablet,Analyticss For Data
A1602,Data Analytics Course,118,5889,193.01,17,10,8.47,1789.0,11-Oct-24,Hyderabad,Desktop,Online Data Analytics
A2902,Data Analytics Course,159,3662,203.93,20,4,2.52,1776.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Course
A2538,Data Analytics Course,91,4710,199.18,21,9,9.89,1431.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Course
A1174,Data Analytics Course,97,3605,240.29,21,7,7.22,1682.0,11-Oct-24,Hyderabad,Desktop,Data Analyticss Online
A1189,Data Analytics Course,198,3700,220.67,14,5,2.53,1531.0,11-Oct-24,Hyderabad,Mobile,Analyticss For Data
A3536,Data Analytics Course,144,5968,224.21,21,6,4.17,1993.0,11-Oct-24,Hyderabad,Desktop,Online Data Analytics
A3493,Data Analytics Course,169,5430,233.01,27,7,4.14,2000.0,11-Oct-24,Hyderabad,Mobile,Learn Data Analyticss
A2600,Data Analytics Course,139,3355,186.9,20,4,2.88,1524.0,11-Oct-24,Hyderabad,Mobile,Online Data Analytics
A2090,Data Analytics Course,114,4157,248.56,10,7,6.14,1671.0,11-Oct-24,Hyderabad,Desktop,Analyticss For Data
A1305,Data Analytics Course,139,4450,219.21,16,10,7.19,1917.0,11-Oct-24,Hyderabad,Mobile,Learn Data Analyticss
A2976,Data Analytics Course,86,4824,231.61,20,7,8.14,1390.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Online
A2999,Data Analytics Course,152,3036,210.78,12,6,3.95,1074.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Online
A3455,Data Analytics Course,121,3844,242.19,29,3,2.48,1897.0,11-Oct-24,Hyderabad,Mobile,Learn Data Analyticss
A1452,Data Analytics Course,105,3008,206.91,21,4,3.81,1009.0,11-Oct-24,Hyderabad,Desktop,Online Data Analytics
A3450,Data Analytics Course,167,5051,202.95,21,10,5.99,1812.0,11-Oct-24,Hyderabad,Mobile,Learn Data Analyticss
A2042,Data Analytics Course,146,5733,225.48,26,3,2.05,1658.0,11-Oct-24,Hyderabad,Desktop,Online Data Analytics
A2651,Data Analytics Course,153,5292,225.98,21,9,5.88,1223.0,11-Oct-24,Hyderabad,Mobile,Data Analyticss Course
A2642,Data Analytics Course,122,4295,215.09062325209752,24,6,4.92,1349.0,11-Oct-24,Hyderabad,Desktop,Data Analyticss Course
A1348,Data Analytics Course,117,3951,212.02,16,5,4.27,1949.0,11-Oct-24,Hyderabad,Desktop,Data Anaytics Training
A1296,Data Analytics Course,119,3489,194.36,14,3,2.52,1633.0,11-Oct-24,Hyderabad,Mobile,Data Analyticss Course
A2031,Data Analytics Course,89,5899,226.95,13,7,7.87,1058.0,11-Oct-24,Hyderabad,Mobile,Data Anaytics Training
A3434,Data Analytics Course,125,3808,191.42,29,7,5.6,1783.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Course
A3335,Data Analytics Course,101,3317,215.09062325209752,23,4,3.96,1716.0,11-Oct-24,Hyderabad,Desktop,Data Analyticss Course
A3383,Data Analytics Course,87,4154,232.88,13,3,3.45,1099.0,11-Oct-24,Hyderabad,Desktop,Online Data Analytics
A2025,Data Analytics Course,180,3060,194.47,21,5,2.78,1429.0,11-Oct-24,Hyderabad,Tablet,Online Data Analytics
A2646,Data Analytics Course,94,3805,198.19,12,8,8.51,1523.0,11-Oct-24,Hyderabad,Tablet,Data Analyticss Course
A1149,Data Analytics Course,100,4235,222.61,10,8,8.0,1814.0,01-Nov-24,Hyderabad,Desktop,Data Anaytics Training
A2974,Data Analytics Course,136,5645,195.55,26,4,2.94,1773.0,01-Nov-24,Hyderabad,Tablet,Learn Data Analyticss
A2294,Data Analytics Course,142,3155,229.01,20,10,7.04,1955.0,01-Nov-24,Hyderabad,Mobile,Learn Data Analyticss
A2165,Data Analytics Course,121,5064,246.78,13,9,7.44,1268.0,01-Nov-24,Hyderabad,Tablet,Online Data Analytics
A3012,Data Analytics Course,88,5823,246.67,12,9,10.23,1514.0,01-Nov-24,Hyderabad,Mobile,Data Analyticss Course
A1044,Data Analytics Course,197,5783,204.46,23,6,3.05,1729.0,01-Nov-24,Hyderabad,Tablet,Data Anaytics Training
A2915,Data Analytics Course,81,4864,238.27,15,7,8.64,1278.0,01-Nov-24,Hyderabad,Desktop,Analyticss For Data
A3288,Data Analytics Course,108,3676,203.45,29,8,7.41,1369.0,01-Nov-24,Hyderabad,Mobile,Data Analyticss Online
A1844,Data Analytics Course,199,5319,216.7,25,9,4.52,1498.65,01-Nov-24,Hyderabad,Desktop,Online Data Analytics
A3005,Data Analytics Course,168,3128,184.27,30,7,4.17,1957.0,01-Nov-24,Hyderabad,Tablet,Data Analyticss Course
A2724,Data Analytics Course,129,3454,223.14,17,8,6.2,1391.0,01-Nov-24,Hyderabad,Tablet,Analyticss For Data
A1507,Data Analytics Course,134,3562,247.59,24,10,7.46,1295.0,01-Nov-24,Hyderabad,Tablet,Analyticss For Data
A1490,Data Analytics Course,197,3265,200.4,15,3,1.52,1882.0,01-Nov-24,Hyderabad,Mobile,Learn Data Analyticss
A2950,Data Analytics Course,143,4788,213.2,24,7,4.9,1359.0,01-Nov-24,Hyderabad,Desktop,Analyticss For Data
A2506,Data Analytics Course,112,4072,211.56,17,10,8.93,1229.0,01-Nov-24,Hyderabad,Desktop,Analyticss For Data
A1825,Data Analytics Course,153,5396,233.79,13,8,5.23,1571.0,01-Nov-24,Hyderabad,Mobile,Data Anaytics Training
A3441,Data Analytics Course,150,5057,220.26,24,5,3.33,1498.65,01-Nov-24,Hyderabad,Desktop,Data Anaytics Training
A1464,Data Analytics Course,92,3162,202.76,25,5,5.43,1577.0,01-Nov-24,Hyderabad,Mobile,Data Anaytics Training
A3298,Data Analytics Course,100,4869,234.37,21,7,7.0,1890.0,01-Nov-24,Hyderabad,Tablet,Data Analyticss Online
A1035,Data Analytics Course,104,5275,236.48,16,9,8.65,1824.0,01-Nov-24,Hyderabad,Desktop,Data Anaytics Training
A3040,Data Analytics Course,132,4359,237.12,29,3,2.27,1872.0,01-Nov-24,Hyderabad,Mobile,Online Data Analytics
A3338,Data Analytics Course,181,3859,246.36,22,9,4.97,1769.0,01-Nov-24,Hyderabad,Mobile,Online Data Analytics
A1748,Data Analytics Course,150,5272,239.06,13,9,6.0,1232.0,01-Nov-24,Hyderabad,Desktop,Online Data Analytics
A1238,Data Analytics Course,191,4612,238.23,20,10,5.24,1531.0,01-Nov-24,Hyderabad,Mobile,Learn Data Analyticss
A1284,Data Analytics Course,157,3047,222.66,19,3,1.91,1964.0,01-Nov-24,Hyderabad,Mobile,Data Analyticss Online
A2135,Data Analytics Course,115,3963,225.32,22,9,7.83,1622.0,01-Nov-24,Hyderabad,Desktop,Data Analyticss Online
A1575,Data Analytics Course,85,4747,224.35,26,5,5.88,1087.0,01-Nov-24,Hyderabad,Tablet,Data Analyticss Course
A1361,Data Analytics Course,128,4636,243.83,20,10,7.81,1941.0,02-Nov-24,Hyderabad,Mobile,Data Anaytics Training
A1518,Data Analytics Course,122,4441,244.38,25,6,4.92,1498.65,02-Nov-24,Hyderabad,Desktop,Analyticss For Data
A3505,Data Analytics Course,88,3684,198.73,30,4,4.55,1195.0,02-Nov-24,Hyderabad,Mobile,Online Data Analytics
A1489,Data Analytics Course,161,3311,221.64,16,5,3.11,1006.0,02-Nov-24,Hyderabad,Tablet,Online Data Analytics
A2275,Data Analytics Course,125,3607,224.45,22,9,7.2,1392.0,02-Nov-24,Hyderabad,Tablet,Analyticss For Data
A2245,Data Analytics Course,194,3751,244.34,23,5,2.58,1498.65,02-Nov-24,Hyderabad,Mobile,Data Analyticss Online
A2563,Data Analytics Course,91,5017,239.34,15,5,5.49,1498.65,02-Nov-24,Hyderabad,Tablet,Analyticss For Data
A2304,Data Analytics Course,117,5016,249.38,10,9,7.69,1832.0,02-Nov-24,Hyderabad,Tablet,Learn Data Analyticss
A3250,Data Analytics Course,139,4093,230.81,15,6,4.32,1713.0,02-Nov-24,Hyderabad,Desktop,Data Analyticss Course
A1235,Data Analytics Course,85,5099,232.56,28,9,10.59,1526.0,02-Nov-24,Hyderabad,Mobile,Data Anaytics Training
A1661,Data Analytics Course,128,3243,208.41,14,6,4.69,1514.0,02-Nov-24,Hyderabad,Mobile,Online Data Analytics
A3374,Data Analytics Course,108,4019,199.85,25,8,7.41,1657.0,02-Nov-24,Hyderabad,Tablet,Learn Data Analyticss
A2992,Data Analytics Course,154,4828,233.39,24,6,3.9,1661.0,02-Nov-24,Hyderabad,Tablet,Learn Data Analyticss
A2205,Data Analytics Course,139,5650,225.22,26,3,2.16,1774.0,02-Nov-24,Hyderabad,Desktop,Online Data Analytics
A2895,Data Analytics Course,91,4010,229.84,11,6,6.59,1634.0,02-Nov-24,Hyderabad,Mobile,Analyticss For Data
A2487,Data Analytics Course,182,3554,181.74,18,4,2.2,1933.0,02-Nov-24,Hyderabad,Tablet,Learn Data Analyticss
A2576,Data Analytics Course,185,5121,215.46,12,9,4.86,1724.0,02-Nov-24,Hyderabad,Mobile,Data Analyticss Course
A1345,Data Analytics Course,139,3705,239.26,25,7,5.04,1506.0,02-Nov-24,Hyderabad,Tablet,Online Data Analytics
A2802,Data Analytics Course,138,5452,210.45,16,8,5.8,1964.0,02-Nov-24,Hyderabad,Desktop,Data Anaytics Training
A1696,Data Analytics Course,151,5656,191.95,18,7,4.64,1813.0,02-Nov-24,Hyderabad,Mobile,Data Analyticss Online
A1849,Data Analytics Course,193,5899,227.24,12,9,4.66,1832.0,02-Nov-24,Hyderabad,Desktop,Analyticss For Data
A1313,Data Analytics Course,82,4961,220.29,27,7,8.54,1149.0,02-Nov-24,Hyderabad,Tablet,Data Analyticss Course
A1720,Data Analytics Course,172,3123,216.67,15,7,4.07,1759.0,02-Nov-24,Hyderabad,Desktop,Online Data Analytics
A1288,Data Analytics Course,150,5590,215.09062325209752,20,8,5.33,1286.0,02-Nov-24,Hyderabad,Mobile,Data Analyticss Course
A2839,Data Analytics Course,85,3208,220.53,25,5,5.88,1426.0,02-Nov-24,Hyderabad,Desktop,Analyticss For Data
A2414,Data Analytics Course,153,3808,189.61,19,8,5.23,1246.0,02-Nov-24,Hyderabad,Tablet,Data Analyticss Course
A1290,Data Analytics Course,98,4653,205.84,29,5,5.1,1866.0,02-Nov-24,Hyderabad,Mobile,Data Analyticss Online
A2413,Data Analytics Course,128,3487,236.19,25,6,4.69,1961.0,02-Nov-24,Hyderabad,Tablet,Data Analyticss Course
A1440,Data Analytics Course,179,4109,191.84,19,4,2.23,1961.0,02-Nov-24,Hyderabad,Tablet,Online Data Analytics
A2700,Data Analytics Course,109,4002,203.96,14,3,2.75,1430.0,02-Nov-24,Hyderabad,Mobile,Data Analyticss Course
A2298,Data Analytics Course,186,3576,213.96,26,4,2.15,1689.0,02-Nov-24,Hyderabad,Tablet,Learn Data Analyticss
A2771,Data Analytics Course,193,5464,224.15,12,3,1.55,1157.0,03-Nov-24,Hyderabad,Tablet,Online Data Analytics
A3446,Data Analytics Course,191,5660,192.49,21,5,2.62,1023.0,03-Nov-24,Hyderabad,Mobile,Data Analyticss Course
A1119,Data Analytics Course,188,3327,193.76,24,6,3.19,1220.0,03-Nov-24,Hyderabad,Tablet,Online Data Analytics
A3239,Data Analytics Course,127,3791,231.06,11,6,4.72,1351.0,03-Nov-24,Hyderabad,Desktop,Online Data Analytics
A2033,Data Analytics Course,135,4155,207.81,25,9,6.67,1313.0,03-Nov-24,Hyderabad,Desktop,Online Data Analytics
A3319,Data Analytics Course,194,3559,205.78,15,9,4.64,1765.0,03-Nov-24,Hyderabad,Desktop,Online Data Analytics
A2145,Data Analytics Course,157,4093,202.85,27,8,5.1,1370.0,03-Nov-24,Hyderabad,Mobile,Analyticss For Data
A1734,Data Analytics Course,134,4854,198.93,21,8,5.97,1101.0,03-Nov-24,Hyderabad,Desktop,Analyticss For Data
A2549,Data Analytics Course,108,5869,226.93,16,7,6.48,1633.0,03-Nov-24,Hyderabad,Desktop,Analyticss For Data
A2429,Data Analytics Course,115,4762,241.63,20,8,6.96,1555.0,03-Nov-24,Hyderabad,Desktop,Data Analyticss Course
A3404,Data Analytics Course,132,5845,249.74,19,7,5.3,1067.0,03-Nov-24,Hyderabad,Mobile,Analyticss For Data
A2197,Data Analytics Course,139,3334,223.21,14,10,7.19,1317.0,03-Nov-24,Hyderabad,Tablet,Data Analyticss Course
A1087,Data Analytics Course,143,4368,215.09062325209752,27,7,4.9,1199.0,03-Nov-24,Hyderabad,Tablet,Analyticss For Data
A2756,Data Analytics Course,149,3573,247.52,20,4,2.68,1742.0,03-Nov-24,Hyderabad,Mobile,Analyticss For Data
A2743,Data Analytics Course,126,4569,204.13,10,4,3.17,1037.0,03-Nov-24,Hyderabad,Tablet,Learn Data Analyticss
A2115,Data Analytics Course,171,5332,229.69,11,3,1.75,1685.0,03-Nov-24,Hyderabad,Mobile,Data Analyticss Course
A2636,Data Analytics Course,177,5409,181.75,19,4,2.26,1793.0,03-Nov-24,Hyderabad,Tablet,Data Analyticss Course
A2695,Data Analytics Course,82,5241,191.23,28,9,10.98,1369.0,03-Nov-24,Hyderabad,Desktop,Data Analyticss Course
A3146,Data Analytics Course,153,4218,228.36,16,7,4.58,1178.0,03-Nov-24,Hyderabad,Mobile,Data Analyticss Online
A1566,Data Analytics Course,158,5214,222.28,21,3,1.9,1630.0,03-Nov-24,Hyderabad,Desktop,Data Analyticss Course
A2556,Data Analytics Course,196,3656,240.44,15,6,3.06,1894.0,03-Nov-24,Hyderabad,Tablet,Analyticss For Data
A2512,Data Analytics Course,90,4973,181.04,23,5,5.56,1039.0,03-Nov-24,Hyderabad,Desktop,Online Data Analytics
A2580,Data Analytics Course,160,5438,197.5,16,6,3.75,1752.0,03-Nov-24,Hyderabad,Tablet,Data Analyticss Course
A1573,Data Analytics Course,132,4957,220.43,28,6,4.55,1218.0,03-Nov-24,Hyderabad,Mobile,Online Data Analytics
A3350,Data Analytics Course,126,4920,182.36,27,5,3.97,1933.0,04-Nov-24,Hyderabad,Tablet,Data Analyticss Online
A1927,Data Analytics Course,96,3468,228.41,16,9,9.38,1035.0,04-Nov-24,Hyderabad,Desktop,Learn Data Analyticss
A3128,Data Analytics Course,185,4839,193.99,26,6,3.24,1492.0,04-Nov-24,Hyderabad,Desktop,Data Anaytics Training
A2780,Data Analytics Course,196,4912,187.07,26,7,3.57,1720.0,04-Nov-24,Hyderabad,Desktop,Data Analyticss Course
A1448,Data Analytics Course,123,3527,239.31,21,3,2.44,1536.0,04-Nov-24,Hyderabad,Tablet,Analyticss For Data
A1292,Data Analytics Course,128,5772,235.54,20,10,7.81,1215.0,04-Nov-24,Hyderabad,Desktop,Data Anaytics Training
A1593,Data Analytics Course,196,5776,227.24,30,4,2.04,1498.65,04-Nov-24,Hyderabad,Mobile,Data Anaytics Training
A1663,Data Analytics Course,89,3982,209.87,27,7,7.87,1920.0,04-Nov-24,Hyderabad,Desktop,Data Analyticss Course
A2518,Data Analytics Course,138,5495,220.69,19,5,3.62,1624.0,04-Nov-24,Hyderabad,Tablet,Online Data Analytics
A3346,Data Analytics Course,169,4846,230.53,15,8,4.73,1103.0,04-Nov-24,Hyderabad,Mobile,Data Anaytics Training
A2998,Data Analytics Course,149,4678,241.41,11,6,4.03,1106.0,04-Nov-24,Hyderabad,Desktop,Analyticss For Data
A3436,Data Analytics Course,175,5521,207.4,25,3,1.71,1616.0,04-Nov-24,Hyderabad,Mobile,Online Data Analytics
A3121,Data Analytics Course,99,5483,180.04,20,5,5.05,1687.0,04-Nov-24,Hyderabad,Desktop,Analyticss For Data
A3088,Data Analytics Course,151,3702,245.02,22,9,5.96,1983.0,04-Nov-24,Hyderabad,Tablet,Learn Data Analyticss
